1;F8075-ND;SENSOR REED SW SPST-NO W LEADS;2.92
1;732-2044-ND;TERM BLOCK PLUG 6POS 5.08MM;3.32
1;732-691351500007-ND;TERM BLOCK PLUG 7POS 5.08MM;3.78
1;751-1026-ND;EMITTER IR 950NM 100MA RADIAL;0.57
1;EG5658-ND;SWITCH ROCKER SPST 10A 125V;0.43
5;1672-1076-ND;LED MOD XHP50.2 WH STARBD 6500K;11.39
3;1276-1096-1-ND;CAP CER 10UF 16V X5R 0805;0.09
20;1276-1003-1-ND;CAP CER 0.1UF 50V X7R 0805;0.038
1;PCE3951CT-ND;CAP ALUM 100UF 20% 35V SMD;0.44
1;PCE3766CT-ND;CAP ALUM 220UF 20% 6.3V SMD;0.37
1;587-5853-1-ND;CAP CER 22UF 35V X5R 1210;0.84
2;1276-CL21A226MAYNNNECT-ND;CAP CER 22UF 25V X5R 0805;0.23
1;PCE3959CT-ND;CAP ALUM 330UF 20% 35V SMD;0.57
1;732-8465-1-ND;CAP ALUM 1000UF 20% 50V SMD;2.54
1;PCE4552DKR-ND;CAP ALUM 47UF 20% 35V SMD;7.45
3;399-17616-1-ND;CAP CER SMD 0805 .01UF X7R 5% 50;0.09
1;PDS1040LDICT-ND;DIODE SCHOTTKY 40V 10A POWERDI5;0.87
2;BAT54SLT1GOSCT-ND;DIODE ARRAY SCHOTTKY 30V SOT23-3;0.13
2;1N4148W-13FDICT-ND;DIODE GEN PURP 100V 300MA SOD123;0.16
1;PEC12R-4220F-S0024-ND;ROTARY ENCODER MECHANICAL 24PPR;1.41
1;732-2747-ND;TERM BLK 2POS SIDE ENT 3.5MM PCB;0.77
1;CP-063AH-ND;CONN PWR JACK 2X5.5MM SOLDER;1.35
2;455-S2B-PH-SM4-TBDKR-ND;CONN HEADER SMD R/A 2POS 2MM;4
1;CP-3523SJDKR-ND;CONN JACK STEREO 3.5MM SMD R/A;7.88
1;732-1093-1-ND;FIXED IND 1.2UH 3.1A 20 MOHM SMD;1.33
1;490-9647-1-ND;BUZZER PIEZO 1.5V 9X9MM SMD;0.77
1;732-2074-ND;TERM BLOCK HDR 6POS 90DEG 5.08MM;1.15
1;732-691313510007-ND;TERM BLOCK HDR 7POS 90DEG 5.08MM;1.47
1;732-5318-ND;CONN HEADER VERT 5POS 2.54MM;0.23
3;732-5317-ND;CONN HEADER VERT 4POS 2.54MM;0.17
1;732-5319-ND;CONN HEADER VERT 6POS 2.54MM;0.3
15;1727-2301-1-ND;MOSFET N-CH 30V 6A TO236AB;0.251
2;4N25MFS-ND;OPTOISO 4.17KV TRANS W/BASE 6DIP;0.56
2;RL12T.068GCT-ND;RES 0.068 OHM 2% 1/4W 0805;0.33
2;2019-RK73B2ATTD1R0JCT-ND;RES 1 OHM 5% 1/4W 0805;0.09
2;2019-RK73B2ATTD200JCT-ND;RES 20 OHM 5% 1/4W 0805;0.09
2;CKN12221-1-ND;TACT 5.2 X 5.2. 1.5 MM H. 260GF.;0.1
2;296-TPS92200D1DDCRCT-ND;IC LED DRV RGLTR PWM SOT23-THIN;1.04
1;732-8242-5-ND;DC DC CONVERTER 3.3V 1.65W;5.52
1;102-P7812-2000R-S-ND;DC-DC NON-ISOLATED. 2 A. 16~36 V;5.19
1;296-27410-5-ND;IC BRIDGE DRIVER PAR 36HSSOP;14.39
2;1168-TG-T1000-18-18-0.25-5PT-ND;THERM TAPE 18MMX18MM W/ADH WHT;0.21
2;1168-TG-A1250-15-15-1.0-ND;THERM PAD 15MMX15MM GREEN;0.58
1;2223-HSB06-181810-ND;HEAT SINK. BGA. 18 X 18 X 10 MM;0.89
2;1528-4714-ND;JST-PH 2-PIN JUMPER CABLE - 100M;0.83
1;226-4164-ND;"KNOB KNURLED 0.236"" METAL";8.87
10;1276-6470-6-ND;CAP CER 1UF 50V X7R 0805;0.769
25;36-5019CT-ND;PC TEST POINT MINIATURE;0.238
